epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4437,0.72076,1.65065,1.32352,0.15001,0.26891,0.10022,0.04811,2.12382,3.54704,2.38238,0.000662222,0.000662222,0.000662222
2,102.816,0.72817,1.18928,1.33211,0.40949,0.44871,0.38415,0.16957,1.45687,2.41962,1.76324,0.00131573,0.00131573,0.00131573
3,149.559,0.74511,1.1269,1.35767,0.56194,0.51261,0.52952,0.30826,1.32218,1.93469,1.75168,0.00195604,0.00195604,0.00195604
4,195.235,0.71995,1.06975,1.34014,0.59977,0.55182,0.57643,0.3751,1.17465,1.71815,1.57797,0.0019406,0.0019406,0.0019406
5,241.279,0.69961,1.03444,1.3287,0.64285,0.53949,0.60855,0.42372,1.1279,1.64438,1.44226,0.0019208,0.0019208,0.0019208
6,287.601,0.67568,0.98424,1.30606,0.4605,0.31373,0.34019,0.17685,1.5969,2.67741,1.80951,0.001901,0.001901,0.001901
7,332.827,0.65478,0.98843,1.29788,0.53333,0.68186,0.60589,0.39219,1.20988,1.65597,1.50688,0.0018812,0.0018812,0.0018812
8,379.168,0.62105,0.93066,1.2745,0.63802,0.58263,0.62388,0.39804,1.36021,1.55695,1.5687,0.0018614,0.0018614,0.0018614
9,424.24,0.60678,0.91296,1.26806,0.63559,0.59605,0.63088,0.43402,1.10556,1.42586,1.40025,0.0018416,0.0018416,0.0018416
10,470.548,0.60674,0.89642,1.2638,0.58169,0.59944,0.56694,0.39743,1.13296,1.45618,1.36544,0.0018218,0.0018218,0.0018218
11,515.378,0.58865,0.87128,1.24341,0.70029,0.58904,0.68256,0.49993,0.98921,1.28684,1.24942,0.001802,0.001802,0.001802
12,561.191,0.57263,0.84923,1.24183,0.57528,0.59567,0.62378,0.42635,1.07708,1.35783,1.30662,0.0017822,0.0017822,0.0017822
13,605.809,0.57658,0.84266,1.23173,0.51443,0.65266,0.55202,0.39051,1.10439,1.5281,1.29306,0.0017624,0.0017624,0.0017624
14,651.284,0.57646,0.84382,1.2305,0.72553,0.63866,0.7068,0.50485,0.95648,1.21099,1.21751,0.0017426,0.0017426,0.0017426
15,696.506,0.55846,0.84021,1.21616,0.66883,0.58824,0.64053,0.45056,1.1202,1.3554,1.37244,0.0017228,0.0017228,0.0017228
16,741.959,0.5471,0.81056,1.21787,0.70113,0.64986,0.7147,0.49609,1.02713,1.19296,1.26741,0.001703,0.001703,0.001703
17,786.786,0.54986,0.81571,1.21844,0.66442,0.63585,0.69259,0.53588,0.92661,1.11783,1.16948,0.0016832,0.0016832,0.0016832
18,833.533,0.54393,0.81035,1.21013,0.66552,0.66387,0.71443,0.52009,0.97039,1.13927,1.20244,0.0016634,0.0016634,0.0016634
19,881.295,0.54234,0.7978,1.21063,0.66039,0.63729,0.70067,0.51196,1.01657,1.18324,1.24571,0.0016436,0.0016436,0.0016436
20,928.133,0.5316,0.80423,1.20363,0.64826,0.59104,0.67489,0.51278,0.88932,1.26379,1.1335,0.0016238,0.0016238,0.0016238
21,975.547,0.54431,0.77878,1.20254,0.67326,0.63866,0.68407,0.51375,0.94465,1.135,1.20272,0.001604,0.001604,0.001604
22,1023.16,0.54287,0.7979,1.2033,0.68287,0.6695,0.72202,0.41067,1.13704,1.50021,1.33842,0.0015842,0.0015842,0.0015842
23,1069.15,0.52509,0.77782,1.19222,0.66625,0.68347,0.6976,0.51502,0.93554,1.2411,1.20296,0.0015644,0.0015644,0.0015644
24,1116.42,0.52167,0.75631,1.19313,0.6865,0.61338,0.68063,0.53513,0.85349,1.16197,1.08986,0.0015446,0.0015446,0.0015446
25,1163.9,0.51445,0.75523,1.17868,0.71499,0.68161,0.75025,0.55881,0.90254,1.05888,1.14537,0.0015248,0.0015248,0.0015248
26,1210.28,0.51158,0.74514,1.17337,0.6607,0.63585,0.71831,0.5221,0.90654,1.24598,1.12594,0.001505,0.001505,0.001505
27,1257.53,0.49372,0.73706,1.16759,0.63921,0.66502,0.72691,0.54443,0.88599,1.08561,1.08165,0.0014852,0.0014852,0.0014852
